"Country","sub-national","Eco_region","Year","Management_level","Sector","Location","Site","site_corrected","Station","Station_corrected","family","density.ind.ha.","sd_density","biomass.kg.ha.","sd_biomass","Organization"
"Comoros","Ndzuani","Ndzuani","2021","Partially Restricted","Anjouan Island","Moya","Mpoundri","Mpoundri","Mpoundri","Mpoundri","Epinephelidae",66.67,59.63,7.18,7.78,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2021","Partially Restricted","Anjouan Island","Moya","Mpoundri","Mpoundri","Mpoundri","Mpoundri","Scarinae",122.22,142.47,18.81,28.74,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2021","Partially Restricted","Anjouan Island","Pomoni","Mrojou","Mrojou","Mrojou","Mrojou","Epinephelidae",33.33,0,3.48,4.57,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2021","Partially Restricted","Anjouan Island","Moya","Mutsa Muhune","Mutsa Muhune","Mutsa Muhune","Mutsa Muhune","Epinephelidae",66.67,66.67,3.33,3.29,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2021","Partially Restricted","Anjouan Island","Moya","Mutsa Muhune","Mutsa Muhune","Mutsa Muhune","Mutsa Muhune","Scarinae",511.11,472.97,78.29,74.31,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2021","Partially Restricted","Anjouan Island","Moya","Nkohani Shindrini","Nkohani Shindrini","Nkohani Shindrini","Nkohani Shindrini","Epinephelidae",88.89,38.49,4.31,1.76,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2021","Partially Restricted","Anjouan Island","Moya","Nkohani Shindrini","Nkohani Shindrini","Nkohani Shindrini","Nkohani Shindrini","Scarinae",200,290.59,14.02,20.37,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2021","Partially Restricted","Anjouan Island","Moya","Plage Moya","Plage Moya","Plage Moya","Plage Moya","Epinephelidae",106.67,89.44,23.6,23.87,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2021","Partially Restricted","Anjouan Island","Moya","Plage Moya","Plage Moya","Plage Moya","Plage Moya","Scarinae",120,166,17.4,23.76,"DAHARI"
"Comoros","Ngazidja","Ngazidja","2022","National Park","Grand Comore","Grand Comore","Bangoi","Bangoi","Bangoi","Bangoi","Epinephelidae",320,215.41,31.19,20.66,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2022","National Park","Grand Comore","Grand Comore","Bangoi","Bangoi","Bangoi","Bangoi","Scarinae",192,237.32,17.1,14.59,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2022","National Park","Grand Comore","Grand Comore","Chindini","Chindini","Chindini","Chindini","Epinephelidae",210,119.44,27.69,8.83,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2022","National Park","Grand Comore","Grand Comore","Chindini","Chindini","Chindini","Chindini","Scarinae",320,134.66,59.4,9.94,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2022","Partially Restricted","Anjouan Island","Pomoni","Dzindri Yantsini","Dzindri Yantsini","Dzindri Yantsini","Dzindri Yantsini","Epinephelidae",56,58.99,3.27,3.93,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2022","Partially Restricted","Anjouan Island","Pomoni","Dzindri Yantsini","Dzindri Yantsini","Dzindri Yantsini","Dzindri Yantsini","Scarinae",296,101.39,22.82,4.43,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2022","Partially Restricted","Anjouan Island","Pomoni","Hamare_01","Hamare_01","Hamare_01","Hamare_01","Epinephelidae",92,30.33,3.65,1.63,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2022","Partially Restricted","Anjouan Island","Pomoni","Hamare_01","Hamare_01","Hamare_01","Hamare_01","Scarinae",160,81.24,11.13,7.1,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2022","Partially Restricted","Anjouan Island","Pomoni","Hamare_02","Hamare_02","Hamare_02","Hamare_02","Epinephelidae",52,59.33,2.86,2.68,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2022","Partially Restricted","Anjouan Island","Pomoni","Hamare_02","Hamare_02","Hamare_02","Hamare_02","Scarinae",80,104.88,18.65,36.27,"DAHARI"
"Comoros","Ngazidja","Ngazidja","2022","National Park","Grand Comore","Grand Comore","Ifoundihe Chamboini","Ifoundihe Chamboini","Ifoundihe Chamboini","Ifoundihe Chamboini","Epinephelidae",256,45.61,59.7,18.52,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2022","National Park","Grand Comore","Grand Comore","Ifoundihe Chamboini","Ifoundihe Chamboini","Ifoundihe Chamboini","Ifoundihe Chamboini","Scarinae",128,65.73,38.99,26.36,"CORDIO"
