"Country","Year","Sector","Location","Site","Reef_type","Management_level","Management_type","Depth..m.","Latitude","Longitude","number_replicates","Method","Observer","level1_code","mean_cover","sd","se","Organization","Source"
"Comoros","2016","Moheli island","Moheli National Park","Sambia_E","","Partially Restricted","National Park",NA,"-12.395","43.805","15","","","Rubble","19.03",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Sambia_E","","Partially Restricted","National Park",NA,"-12.395","43.805","15","","","Soft coral","2.13",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Sambia_E","","Partially Restricted","National Park",NA,"-12.395","43.805","15","","","Dead standing coral","0.29",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Sambia_E","","Partially Restricted","National Park",NA,"-12.395","43.805","15","","","TWS","0",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Sambia_E","","Partially Restricted","National Park",NA,"-12.395","43.805","15","","","Turf algae","40.12",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Sambia_W","","Partially Restricted","National Park",NA,"-12.386","43.787","15","","","Bare substrate","10.74",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Sambia_W","","Partially Restricted","National Park",NA,"-12.386","43.787","15","","","Hard coral","30.41",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Sambia_W","","Partially Restricted","National Park",NA,"-12.386","43.787","15","","","Coralline algae","0",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Sambia_W","","Partially Restricted","National Park",NA,"-12.386","43.787","15","","","Other inverts","0",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Sambia_W","","Partially Restricted","National Park",NA,"-12.386","43.787","15","","","Sand","0.8",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Sambia_W","","Partially Restricted","National Park",NA,"-12.386","43.787","15","","","Macro-algae","7.58",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Sambia_W","","Partially Restricted","National Park",NA,"-12.386","43.787","15","","","Rubble","5.89",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Sambia_W","","Partially Restricted","National Park",NA,"-12.386","43.787","15","","","Soft coral","0.27",NA,NA,"CORDIO","Post_RLE"
